timestamp,rpm,vibration,temp,flow,fault
2025-12-06T15:38:09.293504,1476.85,0.692,35.03,122.3,0
2025-12-06T15:38:09.795410,1466.33,0.676,35.51,123.19,0
2025-12-06T15:38:10.297370,1477.4,0.684,35.45,122.85,0
2025-12-06T15:38:10.799036,1471.38,0.593,35.53,122.48,0
2025-12-06T15:38:11.300507,1466.06,0.654,35.42,124.07,0
2025-12-06T15:38:11.802272,1459.82,0.672,35.24,120.71,0
2025-12-06T15:38:12.307475,1467.82,0.72,35.93,120.92,0
2025-12-06T15:38:12.812744,1453.67,0.717,35.37,119.91,0
2025-12-06T15:38:13.314138,1475.9,0.671,35.5,121.18,0
2025-12-06T15:38:13.816063,1476.61,0.739,35.63,120.95,0
2025-12-06T15:38:14.317499,1478.02,0.712,35.08,120.34,0
2025-12-06T15:38:14.819415,1467.04,0.716,35.01,121.81,0
2025-12-06T15:38:15.321249,1463.82,0.666,35.25,120.38,0
2025-12-06T15:38:15.822898,1470.97,0.74,35.63,120.97,0
2025-12-06T15:38:16.324542,1471.59,0.691,35.31,122.36,0
2025-12-06T15:38:16.826218,1470.66,0.648,35.75,120.51,0
2025-12-06T15:38:17.327620,1465.58,0.641,35.18,120.11,0
2025-12-06T15:38:17.829821,1472.23,0.688,35.76,120.71,0
2025-12-06T15:38:18.331826,1463.26,0.676,35.53,118.85,0
2025-12-06T15:38:18.833689,1470.93,0.689,35.38,122.56,0
2025-12-06T15:38:19.335668,1467.45,0.697,35.71,120.05,0
2025-12-06T15:38:19.837562,1465.02,0.604,35.74,121.15,0
2025-12-06T15:38:20.342573,1474.88,0.615,35.82,120.38,0
2025-12-06T15:38:20.844511,1472.07,0.605,34.97,121.27,0
2025-12-06T15:38:21.346131,1465.36,0.594,35.34,119.04,0
2025-12-06T15:38:21.848250,1471.32,0.637,35.9,119.9,0
2025-12-06T15:38:22.350407,1454.41,0.627,35.4,119.46,0
2025-12-06T15:38:22.855857,1464.4,0.65,35.49,116.89,0
2025-12-06T15:38:23.358001,1466.09,0.616,36.01,119.19,0
2025-12-06T15:38:23.859464,1460.56,0.555,35.8,120.55,0
2025-12-06T15:38:24.361930,1461.95,0.533,35.78,123.63,0
2025-12-06T15:38:24.863995,1460.42,0.538,35.97,114.94,0
2025-12-06T15:38:25.365679,1464.62,0.564,35.06,119.59,0
2025-12-06T15:38:25.867317,1461.88,0.591,35.27,119.59,0
2025-12-06T15:38:26.368868,1460.82,0.52,35.63,119.61,0
2025-12-06T15:38:26.870661,1456.66,0.524,35.03,119.82,0
2025-12-06T15:38:27.372264,1466.26,0.503,35.28,119.98,0
2025-12-06T15:38:27.873097,1466.86,0.512,35.35,118.85,0
2025-12-06T15:38:28.374738,1465.8,0.526,35.39,120.67,0
2025-12-06T15:38:28.876881,1461.56,0.459,35.79,119.83,0
2025-12-06T15:38:29.378885,1459.18,0.524,35.78,117.05,0
2025-12-06T15:38:29.880785,1460.41,0.521,35.78,118.77,0
2025-12-06T15:38:30.384616,1462.29,0.517,35.02,120.0,0
2025-12-06T15:38:30.888511,1459.75,0.505,35.35,119.71,0
2025-12-06T15:38:31.390178,1458.57,0.514,35.71,118.55,0
2025-12-06T15:38:31.892292,1457.03,0.477,35.66,118.24,0
2025-12-06T15:38:32.394750,1452.72,0.572,35.22,118.51,0
2025-12-06T15:38:32.896949,1451.61,0.523,35.09,116.67,0
2025-12-06T15:38:33.398190,1457.23,0.544,35.56,118.61,0
2025-12-06T15:38:33.899408,1458.72,0.48,35.04,118.02,0
2025-12-06T15:38:34.401002,1455.32,0.571,35.29,117.63,0
